Date,Open,High,Low,Closed Price, Volume,Buy Sell,Vn-index,Dowjones,Private trade volume
3/31/2010,90500,90500,89500,89500,135820,-90450,499.24,10927.07031,133000
4/1/2010,89500,91500,90000,91500,195460,43670,508.18,10997.34961,0
4/2/2010,91500,93000,92000,93000,161500,6370,510.48,11005.96973,1240000
4/5/2010,93000,97500,95000,96500,181240,9390,514.79,11019.41992,0
4/6/2010,96500,98000,96500,96500,168710,-50040,515.33,11123.11035,500000
4/7/2010,96500,97000,95500,96500,135370,-45540,515.82,11144.57031,450000
4/8/2010,96500,97000,96000,97000,174960,-15690,515.93,11018.66016,0
4/9/2010,97000,97500,96500,97000,129220,-17340,517.42,11092.04981,400000
4/12/2010,97000,97500,96000,97000,137590,-34120,519.93,11117.05957,0
4/13/2010,97000,98000,96500,97000,70380,-8050,517.98,11124.91992,250000
4/14/2010,97000,97000,95500,95500,71170,4790,516.21,11134.29004,38000
4/15/2010,95500,100000,97000,100000,159470,169060,521.49,11204.28027,0
4/16/2010,100000,101000,99000,100000,75910,-17260,522.03,11205.03027,750000
4/19/2010,100000,100000,97500,97500,86200,-14130,516.74,10991.99023,0
4/20/2010,97500,99000,95500,99000,128820,36220,515.2,11045.26953,250000
4/21/2010,99000,101000,99000,100000,223690,-55000,519.7,11167.32031,0
4/22/2010,100000,105000,103000,105000,143480,57380,529.31,11008.61035,0
4/26/2010,105000,110000,107000,109000,114920,29670,531.21,11151.83008,0
4/27/2010,109000,112000,109000,111000,139560,25720,535.72,10926.76953,20000
4/28/2010,111000,113000,108000,111000,128870,-73830,539.2,10866.83008,0
4/29/2010,111000,113000,111000,113000,84380,18290,542.37,10520.32031,0
5/4/2010,113000,118000,118000,118000,52610,118270,549.12,10380.42969,360000
5/5/2010,118000,123000,120000,122000,206200,-35600,548.01,10785.13965,0
5/6/2010,122000,122000,118000,119000,256370,-107320,549.51,10748.25977,0
5/7/2010,67121,70000,68000,69000,316080,27420,542.03,10896.91016,0
5/10/2010,69000,72000,68000,68000,265800,-262240,534.38,10782.9502,0
5/11/2010,68000,69000,66500,68000,268990,-102370,534.36,10620.16016,0
5/12/2010,68000,67000,65000,65000,256220,-238830,519.6,10625.83008,0
